iter	Logloss
0	0.6474266828
1	0.6104641507
2	0.5758392639
3	0.55153473
4	0.533143638
5	0.520788946
6	0.5079744006
7	0.5010971928
8	0.4945515978
9	0.4890412736
10	0.4836643111
11	0.4797140983
12	0.4754440935
13	0.4725067046
14	0.4683540784
15	0.4665326838
16	0.4646108997
17	0.4627866525
18	0.4606999099
19	0.4593992201
20	0.4582308387
21	0.4570409998
22	0.4562364038
23	0.4552536845
24	0.4541268849
25	0.4531910178
26	0.4524564287
27	0.4514005511
28	0.4510476533
29	0.4504548029
30	0.4494844839
31	0.4489126262
32	0.4485433809
33	0.4480450552
34	0.4474330799
35	0.4472118684
36	0.4468258903
37	0.4464844556
38	0.4463202076
39	0.4459970641
40	0.4456761272
41	0.4454434276
42	0.4451959392
43	0.4449111897
44	0.444623417
45	0.4443668747
46	0.4441946183
47	0.4438453534
48	0.4436320398
49	0.443323498
50	0.4429704129
51	0.44279088
52	0.4425982358
53	0.4425111171
54	0.4422589247
55	0.4421393175
56	0.4420154631
57	0.4419052352
58	0.4417637723
59	0.4416739558
60	0.4413858532
61	0.4410765679
62	0.4408936332
63	0.4408334814
64	0.4407116732
65	0.4405740292
66	0.4403809571
67	0.4402861073
68	0.4401135464
69	0.4398972521
70	0.4397688722
71	0.4396264254
72	0.4394619876
73	0.4393919629
74	0.4392892632
75	0.4391833582
76	0.4391320758
77	0.4390269409
78	0.4388087544
79	0.4386535737
80	0.438557559
81	0.4384559441
82	0.4383673892
83	0.4382685605
84	0.4381290005
85	0.4379509004
86	0.4378161832
87	0.4376389318
88	0.4375048872
89	0.4373571944
90	0.4371187432
91	0.4368503855
92	0.4367509128
93	0.4365326805
94	0.4364401083
95	0.4363330852
96	0.4362080866
97	0.43603241
98	0.4359124455
99	0.4358121679
100	0.4357322739
101	0.4356158473
102	0.4355345929
103	0.4354033279
104	0.4351771065
105	0.4350914205
106	0.4349270223
107	0.4348255813
108	0.434749046
109	0.4346392512
110	0.4344473598
111	0.4343710706
112	0.4342877701
113	0.4341476344
114	0.43403924
115	0.4339089931
116	0.4338354264
117	0.4337276411
118	0.4335513521
119	0.4334565066
120	0.4333882367
121	0.4333417128
122	0.4332536672
123	0.4331743156
124	0.433113887
125	0.4330347966
126	0.4329425893
127	0.4328055879
128	0.4327182011
129	0.4325386441
130	0.4324362465
131	0.4323031053
132	0.4322402229
133	0.4321350566
134	0.4320434786
135	0.4319262799
136	0.4317640156
137	0.4317039756
138	0.4315653265
139	0.4314815974
140	0.4314410301
141	0.4313492154
142	0.4312939617
143	0.4312076462
144	0.4310922017
145	0.4309716636
146	0.4309164592
147	0.4307919245
148	0.4307138471
149	0.4306426302
150	0.430573888
151	0.4304898324
152	0.4304194298
153	0.4302502249
154	0.4301988062
155	0.4301204424
156	0.4300541736
157	0.4299789302
158	0.4299234217
159	0.4298518339
160	0.4297996858
161	0.429684067
162	0.4296173226
163	0.4294875994
164	0.429431919
165	0.429366473
166	0.4292334913
167	0.429194123
168	0.4291014865
169	0.4290183243
170	0.428876361
171	0.4287670027
172	0.4287049527
173	0.4286426353
174	0.4285736696
175	0.4284973904
176	0.4284518555
177	0.42835788
178	0.4283045843
179	0.428235467
180	0.4281971871
181	0.4281428882
182	0.4280767044
183	0.4279942876
184	0.4279272073
185	0.4278497001
186	0.4278015423
187	0.4277319227
188	0.4276721878
189	0.4276245775
190	0.4275731141
191	0.4275079032
192	0.4274406374
193	0.4274196719
194	0.4273439386
195	0.4272425794
196	0.4271881996
197	0.4271266136
198	0.4270623636
199	0.4270031073
200	0.4269546874
201	0.4268752376
202	0.4268311396
203	0.426774042
204	0.4266910047
205	0.4266264205
206	0.4265453005
207	0.4265064518
208	0.4264239523
209	0.4263174984
210	0.4262666482
211	0.4261928335
212	0.4261075685
213	0.426009664
214	0.4259669352
215	0.4258951298
216	0.4258336006
217	0.4257518048
218	0.4257053052
219	0.4256606838
220	0.4256260173
221	0.4255486977
222	0.4255089932
223	0.4254709982
224	0.4254120108
225	0.4253690093
226	0.4252661844
227	0.4252067253
228	0.4251657698
229	0.4251141642
230	0.4250688098
231	0.4250385776
232	0.4250065799
233	0.4249275129
234	0.4248583128
235	0.4247961237
236	0.4247558807
237	0.4246832033
238	0.4246429093
239	0.4245528948
240	0.4244887127
241	0.4244408752
242	0.4244106686
243	0.4243338947
244	0.4242995228
245	0.4242393589
246	0.4241763244
247	0.4241025294
248	0.4240407264
249	0.4239901887
250	0.4239547244
251	0.4238888458
252	0.4238303197
253	0.4237618031
254	0.4237280503
255	0.4236515228
256	0.4236045204
257	0.4235608579
258	0.423489459
259	0.4234265013
260	0.4233610246
261	0.4232742441
262	0.4232600172
263	0.4231954212
264	0.4231688118
265	0.4231433351
266	0.4230710872
267	0.4230061628
268	0.4229518501
269	0.42290939
270	0.4228644671
271	0.4228214103
272	0.4227237291
273	0.4226830153
274	0.4226160237
275	0.422564133
276	0.4224621388
277	0.4224077061
278	0.422360724
279	0.4223067349
280	0.4222006451
281	0.422148206
282	0.4220429616
283	0.4220159732
284	0.4219384423
285	0.4218943736
286	0.4218467273
287	0.4217982873
288	0.4217555999
289	0.4217443966
290	0.4217091079
291	0.4216640394
292	0.4215999069
293	0.4215546966
294	0.4214631639
295	0.4213863631
296	0.4213514388
297	0.4212918828
298	0.4212547128
299	0.4212051892
